effectID,byTimingCondition,byHitCondition,byCountCondition,byMonsterBodyTypeFlag,bySelfCheckType,dwSelfBuffID,byTgtCheckType,dwTgtBuffID,dwProbability,byFlag,dwOperationID,dwOperationData,dwOperationData1,
132,2,1,1,7,0,0,0,0,0,2,1,1081,0,贯穿射击附加减速效果
133,2,0,0,15,0,0,0,0,10000,1,33,13,1,暴风箭雨发射弩箭
134,1,0,0,15,0,0,0,0,0,1,1,1027,0,前冲跳跃附加攻击速度提高效果
135,1,0,0,15,0,0,0,0,0,1,1,1031,0,前冲跳跃附加移动速度提高效果
136,1,0,0,15,0,0,0,0,0,1,1,1082,0,前冲跳跃附加闪避率提高效果
137,2,2,1,15,0,0,0,0,0,2,1,1035,0,移动射击暴击后附加束缚效果
138,2,1,1,7,0,0,0,0,0,2,1,1022,0,箭雨有概率对非boss敌人造成昏迷效果
139,2,1,1,7,0,0,0,0,0,2,1,1043,0,普攻攻击命中非boss敌人有几率造成昏迷
140,2,1,1,15,0,0,0,0,10000,1,6,30,0,牧师基础攻击恢复sp
141,2,1,1,15,0,0,0,0,0,2,1,1044,0,审判附加刻印效果
142,2,1,1,15,0,0,0,0,0,2,1,1044,0,神圣破袭附加刻印效果
143,2,1,1,7,0,0,4,1044,0,2,1,1063,0,命中带刻印的非boss敌人造成200%的伤害
144,2,1,1,8,0,0,4,1044,0,2,1,1064,0,命中带刻印的boss造成400%的伤害
145,2,1,1,12,0,0,4,1044,0,2,1,1065,0,命中带刻印的大型和Boss敌人造成400%的伤害
146,2,1,1,15,0,0,0,0,0,2,18,1044,0,驱散刻印
147,1,0,0,15,0,0,0,0,0,1,1,1045,0,紧急回避附加防御提高效果
148,1,0,0,15,0,0,0,0,0,1,1,1049,0,紧急回避附加移动速度提高效果
149,2,1,1,15,0,0,0,0,0,2,1,1044,0,紧急回避附加刻印效果
150,2,1,1,7,0,0,0,0,0,2,1,1053,0,审判附加睡眠效果
151,2,1,1,7,0,0,0,0,0,2,1,1043,0,回旋连击最后一击对非boss怪附加昏迷效果
152,2,1,1,8,0,0,0,0,0,2,1,1043,0,回旋连击最后一击对boss怪附加昏迷效果
153,2,1,1,15,0,0,0,0,10000,2,1,1054,0,神圣破袭附加防御力下降效果
154,2,1,1,7,0,0,0,0,0,2,1,1053,0,神圣破袭附加睡眠效果
155,0,0,0,15,0,0,0,0,0,1,6,100,0,神圣破袭释放时恢复sp
156,2,1,1,15,0,0,0,0,0,1,6,5,0,闪电阵命中敌人恢复sp
157,2,1,1,15,0,0,0,0,0,2,1,1059,0,闪电阵附加受到伤害提高效果
158,2,1,1,7,0,0,0,0,0,2,1,1037,0,闪电阵附加束缚效果
159,2,0,0,15,0,0,0,0,0,1,19,15,0,战士基础攻击调用二段斩
160,2,0,0,15,0,0,0,0,0,1,19,16,0,战士基础攻击调用要害突刺
161,1,0,0,15,0,0,0,0,0,1,1,1090,0,移动射击后暴击率提高
162,2,0,0,15,0,0,0,0,0,1,19,33,0,牧师的基础攻击有几率调用神圣意志
163,2,0,0,15,0,0,0,0,0,1,21,14,2,火球术释放时发射跟踪火弹
164,2,1,1,12,0,0,0,0,0,1,6,5,0,战士基础攻击命中大型和Boss敌人恢复sp
165,2,1,1,7,0,0,0,0,10000,2,31,15000,200,冰刺击飞非Boss目标
166,0,0,1,7,0,0,0,0,10000,2,22,20000,500,飓风拖拽目标
167,2,0,0,15,0,0,0,0,10000,1,19,40,0,战士飓风调用action产生伤害
168,2,1,1,7,0,0,0,0,10000,2,23,5000,50,战士平砍击退
169,2,1,1,7,0,0,0,0,10000,2,23,10000,50,致命冲击击退
170,2,1,1,7,0,0,0,0,10000,2,23,4000,50,最后反击击退
171,2,0,0,15,0,0,0,0,0,1,19,41,0,牧师审判调用加血
172,0,0,0,15,0,0,0,0,10000,1,1,1074,0,飓风无敌
173,0,0,0,15,0,0,0,0,10000,1,1,1075,0,暴风斩无敌
174,0,0,0,15,0,0,0,0,10000,1,1,1076,0,最后反击无敌
175,2,0,0,15,0,0,0,0,10000,1,36,17,1,发射火球
176,2,1,0,8,0,0,0,0,0,1,6,5,0,弩箭射击命中boss敌人恢复5点SP
177,2,1,1,7,0,0,0,0,0,2,1,1019,0,弩箭射击命中后有一定概率附加束缚效果
178,2,0,0,15,0,0,0,0,10000,1,36,11,3,穿透箭发射3只弩箭
179,2,1,1,15,0,0,0,0,0,2,1,1086,0,穿透箭命中时附加破甲效果
180,2,1,1,8,0,0,0,0,0,2,1,1094,0,箭雨命中boss时附加受到伤害提高效果
181,2,0,0,15,0,0,0,0,0,1,19,28,0,弩箭射击有一定几率发射3只弩箭
182,2,0,0,15,0,0,0,0,10000,1,53,0,6000,法师瞬移
1001,2,0,0,15,0,0,0,0,10000,1,39,101,3,豺狼人侦察兵发射弩箭
1002,2,1,1,15,0,0,0,0,500,2,31,10000,500,豺狼人侦察兵弩箭击退效果
1003,2,0,0,15,0,0,0,0,10000,1,43,102,1,投掷炸弹
1004,2,1,1,15,0,0,0,0,10000,2,31,10000,500,特林特击退
1005,2,0,0,15,0,0,0,0,10000,2,42,116,1,兽人精灵术士召唤陷阱
1006,2,0,0,15,0,0,0,0,10000,1,16,103,1,兽人精灵术士发射火球
1007,2,1,1,15,0,0,0,0,10000,2,31,10000,500,岩石巨人击退
1008,2,0,0,15,0,0,0,0,10000,1,32,104,1,豺狼人弩箭手发射弩箭
1009,2,0,0,15,0,0,0,0,10000,1,32,105,3,守门将卡斯帕发射弩箭
1010,2,1,1,15,0,0,0,0,10000,2,31,20000,500,托尔波击退
1011,2,0,0,15,0,0,0,0,10000,1,32,106,3,赛波发射弩箭
1012,2,0,0,15,0,0,0,0,10000,1,36,101,1,豺狼人侦察兵发射1只弩箭
1013,2,0,0,15,0,0,0,0,10000,2,32,107,1,幼虫小恶魔发射绿色炮弹
1014,2,0,0,15,0,0,0,0,10000,1,32,105,3,地精警卫兵投石（Boss）
1015,2,0,0,15,0,0,0,0,10000,1,32,111,1,地精监视兵boss投石
1016,2,0,0,15,0,0,0,0,10000,1,32,108,1,魔法沙基安丢闪电
1017,2,0,0,15,0,0,0,0,10000,1,32,136,1,沙基安投掷长矛
1018,2,0,0,15,0,0,0,0,10000,1,32,110,1,修拉克召唤落雷
1019,0,0,0,15,0,0,0,0,10000,1,41,2000,10000,地精消失
1020,2,1,1,15,0,0,0,0,10000,2,47,3500,0,深渊造成50%伤害
1021,2,0,0,15,0,0,0,0,10000,1,32,112,3,地精监视兵boss技能投石
1022,2,0,0,15,0,0,0,0,10000,1,32,113,1,地精监视兵技能投石
1023,2,0,1,15,0,0,0,0,10000,2,22,20000,500,佐隆拉人
1024,2,0,0,15,0,0,0,0,10000,1,15,114,3,特林特产生旋风
1025,2,0,0,15,0,0,0,0,10000,1,32,115,1,幼虫小恶魔(boss)发射绿色炮弹
1026,2,0,0,15,0,0,0,0,10000,1,15,115,8,幼虫小恶魔(boss)发射绿色炮弹
1027,2,0,0,15,0,0,0,0,10000,1,44,117,1,古代岩石巨人丢落石
1028,2,0,0,15,0,0,0,0,10000,1,1,1013,0,古代岩石巨人附加伤害提高效果
1029,2,0,0,15,0,0,0,0,10000,1,15,118,3,托儿波旋风斩旋风
1030,2,0,0,15,0,0,0,0,10000,1,32,119,1,托儿波旋风斩旋风
1031,2,0,0,15,0,0,0,0,10000,1,16,120,1,黑魔法师发射火球
1032,2,0,0,15,0,0,0,0,10000,2,42,121,1,黑魔法师召唤陷阱
1033,0,0,0,15,0,0,0,0,10000,1,41,5000,10000,黑魔法师消失
1034,2,0,0,15,0,0,0,0,10000,1,44,121,6,黑魔法师召唤多个陷阱
1035,2,0,0,15,0,0,0,0,10000,2,32,122,1,喇叭手召唤音波
1036,2,1,1,15,0,0,0,0,10000,2,1,1098,0,特林特拉人时目标昏迷
1037,1,0,0,15,0,0,0,0,10000,1,1,1099,0,岩石巨人狂暴
1038,1,0,0,15,0,0,0,0,10000,1,1,1100,0,托儿波狂暴
1039,0,0,0,15,0,0,0,0,10000,1,41,500,10000,豺狼人消失
1040,2,0,0,15,0,0,0,0,10000,1,16,123,1,女王蚂蚁召唤毒镖
1041,2,0,0,15,0,0,0,0,10000,1,16,124,3,女王蚂蚁（boss）召唤毒镖
1042,2,0,0,15,0,0,0,0,10000,1,16,125,1,藤蔓花召唤毒球
1043,2,0,0,15,0,0,0,0,10000,1,27,125,3,藤蔓花（boss）召唤毒球
1044,2,1,1,15,0,0,0,0,10000,2,31,10000,100,甲壳虫击退
1045,2,0,0,15,0,0,0,0,10000,1,16,126,1,小妖精密探召唤毒镖
1046,2,0,0,15,0,0,0,0,10000,1,27,127,3,铁螳螂怪召唤毒液
1047,2,0,0,15,0,0,0,0,10000,1,15,128,12,女王蚂蚁（boss）召唤连发毒镖
1048,2,0,0,15,0,0,0,0,10000,1,16,129,1,毒虫召唤毒液
1049,2,0,0,15,0,0,0,0,10000,1,15,126,12,小妖精密探召唤毒镖
1050,2,0,0,15,0,0,0,0,10000,1,56,300,2500,近战沙基安瞬移
1051,2,0,0,15,0,0,0,0,10000,1,43,130,1,昆昆幼虫召唤毒球
1052,1,0,0,15,0,0,0,0,10000,0,15,131,1,昆昆幼虫毒球召唤毒液
1053,2,0,0,15,0,0,0,0,10000,1,15,125,6,藤蔓花（boss）大招召唤毒球
1054,2,0,0,15,0,0,0,0,10000,1,61,132,3,巨爪巴布丢红弹
1055,1,0,0,15,0,0,0,0,10000,0,15,134,1,巨爪巴布红弹召唤陷阱
1056,2,0,0,15,0,0,0,0,10000,1,57,133,1,巨爪巴布2米丢绿弹
1057,1,0,0,15,0,0,0,0,10000,0,15,135,1,巨爪巴布绿弹召唤陷阱
1058,2,0,0,15,0,0,0,0,10000,1,58,133,1,巨爪巴布6米丢绿弹
1059,2,0,0,15,0,0,0,0,10000,1,59,133,1,巨爪巴布10米丢绿弹
1060,2,0,0,15,0,0,0,0,10000,1,60,133,1,巨爪巴布14米丢绿弹
1061,2,0,0,15,0,0,0,0,10000,1,15,129,4,毒虫死亡召唤毒镖
1062,2,0,0,15,0,0,0,0,10000,1,47,10000,0,毒爆虫自杀
1063,2,0,0,15,0,0,0,0,10000,1,16,125,1,昆昆幼虫召唤毒球
1064,2,0,0,15,0,0,0,0,10000,1,15,137,6,堕落守护者召唤旋风
1065,2,0,0,15,0,0,0,0,10000,2,42,138,1,黑魔法师召唤陷阱
1066,2,0,0,15,0,0,0,0,10000,1,19,3077,0,拉巴蒂调用毒雾
1067,2,0,0,15,0,0,0,0,10000,1,19,3078,0,拉巴蒂调用360
1068,2,0,0,15,0,0,0,0,10000,0,15,139,1,昆昆横扫判定1
1069,2,0,0,15,0,0,0,0,10000,0,15,140,1,昆昆横扫判定2
1070,2,0,0,15,0,0,0,0,10000,1,15,137,6,小蜥蜴王召唤旋风
1071,2,0,0,15,0,0,0,0,10000,1,44,141,6,拉巴蒂召唤陷阱
1072,2,0,0,15,0,0,0,0,10000,2,42,228,1,沙基安召唤陷阱
1073,2,0,0,15,0,0,0,0,10000,2,42,142,1,昆昆召唤陷阱预警
1074,2,1,1,15,0,0,0,0,2500,2,1,1103,0,怪物附加中毒
1075,1,0,0,15,0,0,0,0,10000,0,15,143,1,昆昆召唤陷阱
1076,2,0,0,15,0,0,0,0,10000,1,19,3081,0,毒虫表现
2001,2,1,1,7,0,0,0,0,10000,2,31,10000,200,酒桶击退
2002,2,0,0,15,0,0,0,0,10000,1,16,201,1,蝶仙儿普攻召唤旋风
2003,2,1,1,15,0,0,0,0,10000,2,1,2010,0,蝶仙儿大蔓藤术束缚非boss敌人
2004,2,0,0,15,0,0,0,0,10000,1,15,202,6,蝶仙儿雷云风暴召唤旋风
2005,2,0,0,15,0,0,0,0,10000,1,36,203,1,小艾丽娅发射冰球
2006,2,0,0,15,0,0,0,0,10000,1,36,204,1,酒桶丢小酒桶
2007,2,0,0,15,0,0,0,0,10000,1,52,205,1,酒桶丢大酒桶
2008,1,0,0,15,0,0,0,0,10000,1,1,2002,0,酒桶获得醉步效果
2009,2,0,0,15,0,0,0,0,10000,1,36,206,1,圣光主祭丢雷光球
2010,0,1,1,15,0,0,0,0,10000,2,1,2003,0,圣光法阵内的友方目标受到的伤害下降
2011,2,0,0,15,0,0,0,0,10000,0,15,207,1,圣光主祭召唤圣光法阵
2012,2,0,0,15,0,0,0,0,10000,1,36,208,1,流浪武士丢气功弹
2013,2,0,0,15,0,0,0,0,10000,1,32,209,3,矮人射手普攻发射火箭
2014,2,0,0,15,0,0,0,0,10000,1,16,210,5,矮人射手爆炎多重箭发射火箭
2015,2,1,1,15,0,0,0,0,10000,2,1,2004,0,爆炎多重箭附加灼烧效果
2016,2,0,0,15,0,0,0,0,10000,1,36,211,1,流浪法师丢闪电球
2017,2,0,0,15,0,0,0,0,10000,1,36,212,1,黑狮撒满丢闪电球
2018,2,1,1,15,0,0,0,0,10000,1,3,300,0,黑狮撒满攻击回复HP
2019,2,0,0,15,0,0,0,0,10000,1,36,213,1,玄冰法师丢冰球
2020,2,1,1,7,0,0,0,0,10000,2,1,2005,0,玄冰法师冰球附加减速效果
2021,2,0,0,15,0,0,0,0,10000,1,36,214,1,玄冰法师丢冰球
2022,2,0,0,15,0,0,0,0,10000,1,36,215,1,圣光主祭丢雷光球
2023,2,0,0,15,0,0,0,0,10000,0,15,216,1,玲珑法师召唤玲珑法阵
2024,2,1,1,7,0,0,0,0,10000,2,1,1043,0,铁锤附加昏迷效果
2025,2,0,0,15,0,0,0,0,10000,1,36,217,1,艾尔蕾雅丢冰锥
2026,2,0,0,15,0,0,0,0,10000,2,42,218,1,艾尔蕾雅召唤冰晶
2027,2,1,1,15,0,0,0,0,1000,2,1,20015,0,爆炎多重箭附加灼烧效果
2028,2,1,1,7,0,0,0,0,10000,2,1,2009,0,艾尔蕾雅附加减速效果
2029,2,0,0,15,0,0,0,0,10000,1,36,219,1,美食家温妮丢锅铲
2030,2,1,1,15,0,0,0,0,10000,1,3,300,0,美食家温妮攻击回复HP
2031,2,0,0,15,0,0,0,0,10000,1,36,220,1,火焰法师丢火球
2032,2,1,1,15,0,0,0,0,10000,2,1,2011,0,暗影附加流血效果
2033,1,0,0,15,0,0,0,0,10000,1,1,2012,0,暗影攻击力提高效果
2034,2,1,1,15,0,0,0,0,10000,1,3,200,0,暗影普攻回血
2035,2,1,1,15,0,0,0,0,10000,1,3,500,0,暗影大招回血
2036,2,0,0,15,0,0,0,0,10000,1,32,221,1,玛丽娜丢榴弹
2037,2,0,0,15,0,0,0,0,10000,1,16,222,3,玛丽娜丢3发榴弹
2038,2,0,0,15,0,0,0,0,10000,1,36,223,1,米勒大叔丢玄光球
2039,1,0,0,15,0,0,0,0,10000,1,1,2013,0,米勒大叔治愈之球
2040,1,0,0,15,0,0,0,0,10000,1,1,2014,0,米勒大叔治愈之球
2041,2,1,1,15,0,0,0,0,10000,2,1,2016,0,艾尔蕾雅附加减速效果
2042,2,0,0,15,0,0,0,0,10000,1,36,224,1,秀逗魔法师丢火焰卡牌
2043,2,0,0,15,0,0,0,0,10000,1,16,225,3,秀逗魔法师丢3张火焰卡牌
2044,2,1,1,15,0,0,0,0,10000,2,31,10000,100,佩恩击退
2045,2,1,1,7,0,0,0,0,10000,2,1,1043,0,佩恩击晕
2046,2,0,0,15,0,0,0,0,10000,1,36,226,1,玛丽娜丢烟雾弹
2047,2,1,1,15,0,0,0,0,10000,2,1,1101,0,玛丽娜烟雾地带附加闪身
2048,1,0,0,15,0,0,0,0,10000,0,15,227,1,玛丽娜烟雾弹召唤烟雾陷阱
2049,2,0,0,15,0,0,0,0,10000,1,39,229,1,佩恩召唤剑气
2050,2,0,0,15,0,0,0,0,10000,1,36,230,1,爱丽丝丢毒球
2051,2,0,0,15,0,0,0,0,10000,1,36,231,1,经验童子丢电球
10001,2,0,0,15,0,0,0,0,10000,1,42,1,2000,测试炸弹
10002,2,0,0,15,0,0,0,0,10000,1,43,1,1000,测试炸弹
10003,2,0,0,15,0,0,0,0,10000,1,44,3,2000,测试炸弹
10004,2,0,0,15,0,0,0,0,10000,1,45,3,1000,测试炸弹
10005,2,0,0,15,0,0,0,0,10000,1,46,6,2000,测试炸弹
