dwTemplateID,strName,byShape,byDamegePro,byJob,dwCostSP,dwIgnoreAction,byTargetType,dwHitPer,dwCriticalPer,dwCriticalDmgPer,wAoeAimNum,nAoeArea,byAoeCenterType,nAoeCenterData,byAoeAreaType,nAoeAreaData,byIgnoreDef,dwIgnoreDefendAmount,dwDamagePer,naMoreDamagePer[MONSTER_BODY_TYPE_max],bySkillEffect,dwDirectDmgMin,dwDirectDmgMax,dwDmg[10],dwAtkPowerPer[10],sSkillEffectSelf[8],sSkillEffect[8],sSkillEffectHitPoint[8],HealRatio,Description,icon,ParentID,hitPoint,EffectAnchor,EffectStartTime,EffectFile,EffectLifeTime,SkillTimerTrigger,SkillTimerInterval,MoveSpeed,MoveBeginTime,MoveEndTime,RotateBeginTime,RotateEndTime,shakeCamera,ShakeLevel,AudioConf,AudioStartTime,ClassName,CastDistance,SelfEffect,SelfEffectLife,ExplosionEffect,ExplosionEffectLife,HitEffect,HitEffectRotate,HitEffectLife,HitDummy,animation,AnimFadeTime,WeaponTrailLife,WeaponTrailDisappear,WeaponTrailLength,WeaponTrailDelay,Enable,CalcDamage,ZoomInStartTime,ZoomInEndTime,ZoomInLevel,WeaponHitType,BreakState
11,勇气呐喊,0,0,1,0,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,8800,,106,,0,对周围的敌人造成500%的伤害，并且有60%的概率击晕除Boss以外的敌人。,CourageShout,100401,2500,self,1,Effect/MainChar/$Warrior/Fx_Yongqinahan_001.prefab,1800,0,0,0,0,0,0,2500,1,5000,$warrior_sound/skill_05_stunning_impact.wav;$warrior_sound/m_2_warrior_attack_03.wav,100;101,sdBaseState,2000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill08_re01_003,0,0,,,,0,1,0,10000,12000,sword,0;1
12,飓风,0,0,1,0,0,5,0,0,0,20,6000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,0,,166;167;172,,0,高速旋转产生风暴聚拢周围的敌人，随后产生爆炸，造成360%的伤害，使用时处于无敌状态。,Hurricane,100501,6000,gamelevel,1,Effect/MainChar/$Warrior/Fx_Biaofeng_001.prefab,3000,0,1000,0,0,0,0,2500,1,7500,$warrior_sound/skill_09_huricane_blast.wav;$warrior_sound/m_2_skill_casting_long_01.wav,100;101,sdBaseState,3000,,0,,0,,1,,,warrior_skill09_re01_009,0,0,,,,1,0,0,10000,12000,sword,0;1
13,暴风斩,0,0,1,0,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,9600,,123;170;173,,0,对半径5米内的所有敌人造成800%的伤害。,StormSlash,100501,3000,self,1,Effect/MainChar/$Warrior/Fx_Baofengzhan_001.prefab,2000,0,1000,4000,0,5000,0,2500,1,4000,$warrior_sound/skill_07_typoon_blast.wav;$warrior_sound/m_2_warrior_attack_01.wav,100;101,sdBaseState,3000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill07_007,0,0,,,,0,1,0,0,0,sword,0;1
14,最后反击,0,0,1,0,0,5,0,0,0,20,4000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0;0;0;0,3400;3400;3400;6800,,170;174,,0,连续攻击4次，前3次成240%的伤害，最后一次500%的伤害，使用时处于无敌状态。,LastFight,100501,2700;3500;5000;7500,self,1,Effect/MainChar/$Warrior/Fx_Zuihoufanji_001.prefab,5000,0,0,6000,3000,7500,0,2500,1,3000,$warrior_sound/skill_04_final_crash.wav;$warrior_sound/m_2_warrior_attack_03.wav,100;101,sdBaseState,3000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,warrior_skill04_007_collap06,0,0,,,,0,1,0,0,0,sword,0;1
15,二段斩,0,0,1,0,0,5,0,0,0,20,1500,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,2400,,,,0,对周围所有的敌人造成50%的伤害。,SwordSlash,100101,3500,self,1,Effect/MainChar/$Warrior/Fx_Erduanzhan_001.prefab,2000,0,0,0,0,0,0,2500,1,3000,$warrior_sound/skill_02_wave_slash.wav;$warrior_sound/m_2_warrior_attack_01.wav,1,sdBaseState,1500,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,,,,0,1,0,0,0,sword,0;1
16,要害突刺,0,0,1,0,0,5,0,0,0,20,1500,0,0,7,500,0,0,10000,0;0;0;0,0,0,0,0,3000,,,,0,对前方的所有敌人造成100%的伤害，且每命中一个敌人恢复5点SP。,SwordSlash,100101,3500,self,1,Effect/MainChar/$Warrior/Fx_Yaohaituci_001.prefab,2000,0,0,0,0,0,0,2500,1,3000,$warrior_sound/skill_02_wave_slash.wav;$warrior_sound/m_2_warrior_attack_01.wav,1,sdBaseState,1500,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,1,600,1,,0,0,,,,0,1,0,0,0,sword,0;1
17,闪电阵,4,4,4,0,0,5,0,0,0,1,5000,1,2000,1,0,0,0,10000,0;0;0;0,0,0,0,0,0,,108,,0,生成电闪雷鸣的放电地带，持续4秒，每0.5秒对处于放电地带的敌人造成相当于攻击力20%的雷电伤害。,SwordSlash,100504,4000,gamelevel,1,Effect/MainChar/$Mage/Fx_Shandianxianjng_001.prefab,1500,0,0,0,0,0,0,3000,1,5000,$mage_sound/skill_01_chain_lightning_01.wav;$mage_sound/w_2_mage_attact_03.wav,100;101,sdBaseState,3000,,0,,0,,1,,,$mage_skill13_1,0,0,,,,1,0,0,0,0,,0;1
18,瞬间移动,1,0,4,100,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,0,,109;110;112;182,,0,法师的冲刺技能，向前冲出一定的距离。,Roll,100204,500,self,1,Effect/MainChar/$Mage/Fx_Chongfeng_002.prefab,333,0,0,0,0,0,9500,10000,0,0,$mage_sound/dash_mage.wav,100,sdBaseState,0,,0,,0,,1,,,$mage_dash_014,0,0,,,,1,0,0,0,0,,
19,暴风冰锥,4,1,4,0,0,5,0,0,0,20,4000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,3200,,111;114,,0,召唤冰霜引起爆炸，对周围半径5米的目标造成300%的冰霜属性伤害。,FatalBlow,100304,1000,gamelevel,1,Effect/MainChar/$Mage/Fx_Bingshangbaozha_001.prefab,3000,0,1000,0,0,0,0,500,1,5000,$mage_sound/skill_03_frozen_blast.wav;$mage_sound/w_2_mage_attact_01.wav,100;101,sdBaseState,1500,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Ice_Hit_001.prefab,1,600,1,$mage_skill03_3,0,0,,,,1,1,2000,10000,8000,ice,0;1
20,冰刺,4,1,4,0,0,5,0,0,0,20,4000,0,0,7,1500,0,0,10000,0;0;0;0,0,0,0,0,3400,,165,,0,冰刺沿地面延伸对接触的敌人造成100%的冰霜伤害，并有33%的概率使除Boss外的敌人受到冰霜效果，移动速度和攻击速度下降30%,FatalBlow,100304,5000,gamelevel,1,Effect/MainChar/$Mage/Fx_Bingci_001.prefab,3000,0,0,0,0,0,0,2500,1,5000,$mage_sound/skill_03_frozen_blast.wav;$mage_sound/w_2_mage_attact_03.wav,100;101,sdBaseState,3000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Ice_Hit_001.prefab,1,600,1,$mage_skill02_04,0,0,,,,0,1,0,9000,8000,ice,0;1
21,火球术,4,2,4,0,0,5,0,0,0,20,8000,0,0,1,180,0,0,10000,0;0;0;0,0,0,0,0,0,,124;163,,0,法师的基础攻击，发出燃烧的火球，命中后产生爆炸，对小范围内的敌人造成火焰伤害，并回复5点SP。,Hurricane,100104,3500,self,,,1,0,0,0,0,0,0,2500,0,0,$mage_sound/skill_04_fireball.wav,100,sdBaseState,7000,,0,Effect/MainChar/$Mage/Fx_HuoQiu_Buff_001.prefab,1000,,1,,,$mage_skill02_04,0,0,,,,1,0,0,0,0,fire,0;1
22,雷电术,4,4,4,200,0,5,0,0,0,3,8000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,10000,,113;115;172,,0,朝附近最多3个目标落下雷电术，造成雷电伤害，使用时处于无敌状态。,MoonStrike,100404,3500,self,,,0,0,0,0,0,0,0,0,1,7500,$mage_sound/skill_09_lightning.wav;$mage_sound/w_2_mage_casting_01.wav,100;101,sdBaseState,5000,Effect/MainChar/$Mage/Fx_Shandian_001.prefab,1000,,0,Effect/MainChar/$Mage/Fx_Shandian_Hit_001.prefab,0,1000,0,$mage_skill09,0,0,,,,1,1,0,8000,12000,lightning,0;1
23,弩箭射击,6,0,7,0,0,5,0,0,0,20,8000,0,0,1,180,0,0,10000,0;0;0;0,0,0,0,0,0,,125;116,,0,游侠的基础攻击，发出箭矢对敌人造成伤害，每次命中恢复10点SP。,CrossbowShoot_c,100107,6000,self,,,300,0,0,0,0,0,0,4000,0,0,$ranger_sound/skill_01_1_rapid_shot.wav,100,sdBaseState,7000,,0,,0,,1,,,$ranger_skill01_1_001,0,0,,,,1,0,0,0,0,,
24,前冲跳跃,6,0,7,100,0,0,0,0,0,20,0,0,0,0,0,0,0,10000,0;0;0;0,0,0,0,0,0,,134;135;136,,0,游侠冲刺技能，向前跳出一定的距离。,DashJump_c,100207,,self,0,,2000,0,0,20000,0,8000,9500,10000,0,0,$ranger_sound/skill_06_high_jump.wav;$ranger_sound/m_4_ranger_attack_02.wav,100;101,sdBaseState,0,,0,,0,,1,,,$ranger_skill06_re01_002,0,0,,,,1,0,0,0,0,,
25,齐射,6,0,7,100,0,5,0,0,0,20,8000,0,0,1,180,0,0,10000,0;0;0;0,0,0,0,0,0,,126,,0,向前方扇形同时发出3只箭矢，每只造成相当于攻击力125%的伤害。,Salvo_c,100307,4500,self,1,Effect/MainChar/$Ranger/Fx_Yidonggongji_001.prefab,600,0,1000,0,0,0,0,2500,1,5000,$ranger_sound/skill_04_volley_shot.wav;$ranger_sound/m_4_ranger_attack_02.wav,100;101,sdBaseState,7000,,0,,0,,1,,,$ranger_skill04_003,0,0,,,,1,0,0,0,0,,
26,移动射击,6,0,7,200,0,5,0,0,0,20,8000,0,0,1,180,0,0,10000,0;0;0;0,0,0,0,0,0,,127;161,,0,迅速后退并发射1只弩箭，对敌人造成相当于攻击力100%的伤害。,ShiftShoot_c,100407,6000,self,5000,Effect/MainChar/$Ranger/Fx_Yidonggongji_001.prefab,700,0,0,-20000,0,3500,0,4000,1,5000,$ranger_sound/skill_02_moving_shot.wav;$ranger_sound/m_4_ranger_attack_02.wav,100;101,sdBaseState,7000,,0,,0,,1,,,$ranger_skill02_006,0,0,,,,1,0,0,0,0,,
27,箭雨,6,0,7,0,0,5,0,0,0,20,6000,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0;0;0;0,4300;4300;4300;4300,,128;138;180,,0,向天空发射无数的箭矢，攻击前方大范围内的敌人，给敌人造成4次伤害。,Arrows_c,100507,4500;5500;6500;7500,self;gamelevel,2000;4500,Effect/MainChar/$Ranger/Fx_Jianyu_001.prefab;Effect/MainChar/$Ranger/Fx_Jianyu_Hit_001.prefab,1500;2000,0,1000,-10000,6100,7600,0,1000,1,4000,$ranger_sound/m_2_skill_05_1_arrow_rain_01_post.wav;$ranger_sound/skill_05_1_arrow_rain_1cast.wav;$ranger_sound/skill_05_1_arrow_rain_2ing.wav;$ranger_sound/skill_05_1_arrow_rain_3end.wav,100;500;4500;7500,sdBaseState,3000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$ranger_skill05_002,0,0,,,,1,1,0,10000,12000,arrow,0;1
30,暴风箭雨,6,0,7,0,0,5,0,0,0,20,6000,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,0,,133,,0,向前方集中射击，造成7次相当于200%的伤害。,,100507,4500;5300;5900;6500;6700;7300;7500,self,1000,Effect/MainChar/$Ranger/Fx_baofeng.prefab,2800,0,0,0,0,4000,0,2500,1,3000,$ranger_sound/m_4_ranger_attack_02.wav;$ranger_sound/skill_05_2_arrow_rain_1.wav,100;3000,sdBaseState,7000,,0,,0,,1,,,$ranger_skill09_005_dummy04,0,0,,,,0,0,0,9000,12000,,
31,钝器打击,1,0,10,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,3100,,140;143;144;168;139;162,,0,牧师的基础攻击，挥舞钝器对前方范围内的敌人造成伤害，并恢复30点SP。,BluntBlow_c,100110,7000,self,1,Effect/MainChar/$Priest/Fx_Putonggongji_001.prefab,500,0,0,10000,0,2000,0,2000,0,0,$cleric_sound/skill_04_combo_swing.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_basic_attack_ex_01,0,0,,,,1,1,0,0,0,mace,0;1
32,钝器打击,1,0,10,0,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,3100,,140;143;144;168;139;162,,0,牧师的基础攻击，挥舞钝器对前方范围内的敌人造成伤害，并恢复30点SP。,BluntBlow_c,100110,1500,self,1,Effect/MainChar/$Priest/Fx_Putonggongji_002.prefab,500,0,0,10000,0,2000,0,2000,0,0,$cleric_sound/skill_04_combo_swing.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_basic_attack_ex_02,0,0,,,,1,1,0,0,0,mace,0;1
33,神圣意志,1,0,10,0,0,5,0,0,0,20,5000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,3100,,,,0,对半径5米内的所有敌人造成伤害。,,100110,100,self,1,Effect/MainChar/$Priest/Fx_Huanzhuanggongji_001.prefab,1000,0,0,0,0,0,0,10000,0,7500,$warrior_sound/skill_02_wave_slash.wav;$warrior_sound/m_2_warrior_attack_01.wav,100,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,,0,0,,,,0,1,0,0,0,mace,0;1
34,紧急回避,1,0,10,100,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,0,,147;148;149,,0,牧师的冲刺技能，向面对的方向翻滚。,ForwardRoll_c,100210,6000,self,0,Effect/MainChar/$Warrior/Fx_Chongfeng_001.prefab,672,0,0,25000,0,6000,9500,10000,0,0,$warrior_sound/dash_01.wav,100,sdBaseState,0,,0,,0,,1,,,$cleric_dash_007,0,0,,,,1,0,0,0,0,,
35,审判,1,0,10,0,0,5,0,0,0,3,6000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,8500,,141;150;171,,0,以神的名义降下天罚，对周围3个敌人造成相当于攻击力200%的伤害。,Trial_c,100310,5000,gamelevel;gamelevel,1;5000,Effect/MainChar/$Priest/Fx_Shenpan_001.prefab;Effect/MainChar/$Priest/Fx_Shenpan_Hit_001.prefab,1200;1000,0,0,0,0,0,0,0,1,7500,$cleric_sound/skill_02_4_charging_shock.wav;$cleric_sound/woman_mage_skill_pre_01.wav,100;101,sdBaseState,3500,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_skill05,0,0,,,,1,1,0,10000,12000,mace,
36,回旋打击,1,0,10,100,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,3100,,143;144;168,,0,连续挥动武器攻击敌人，造成相当于攻击力200%的伤害。连续按键可以使用3次。,ComboSwing_c,100410,4000,self;dummy_right_weapon_at,1;2,Effect/MainChar/$Priest/Fx_Huixuanlianji_001.prefab;Effect/MainChar/$Priest/Fx_Chuizi_002.prefab,1000;1000,0,1000,10000,0,3000,0,2500,0,3000,$cleric_sound/skill_04_combo_1_combo_swing.wav;$cleric_sound/woman_mage_attack_01.wav,100;101,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_skill04_1_re01_001,0,0,,,,1,1,0,0,0,mace,0;1
37,回旋打击,1,0,10,100,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,4800,,143;144;168,,0,连续挥动武器攻击敌人，造成相当于攻击力200%的伤害。连续按键可以使用3次。,ComboSwing_c,100410,3000,self;dummy_right_weapon_at,1;2,Effect/MainChar/$Priest/Fx_Huixuanlianji_002.prefab;Effect/MainChar/$Priest/Fx_Chuizi_002.prefab,1000;1000,0,1000,10000,0,3000,0,2500,0,3000,$cleric_sound/skill_04_combo_2_combo_swing.wav;$cleric_sound/woman_mage_attack_01.wav,100;101,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_skill04_2_re01_001,0,0,,,,1,1,0,0,0,mace,0;1
38,回旋打击,1,0,10,100,0,5,0,0,0,20,1500,0,0,5,90,0,0,10000,0;0;0;0,0,0,0,0,4100,,143;144;151;152;168,,0,连续挥动武器攻击敌人，造成相当于攻击力200%的伤害。连续按键可以使用3次。,ComboSwing_c,100410,4000,self;dummy_right_weapon_at,1;2,Effect/MainChar/$Priest/Fx_Huixuanlianji_003.prefab;Effect/MainChar/$Priest/Fx_Chuizi_002.prefab,1000;1000,0,0,10000,0,3000,0,2500,1,5000,$cleric_sound/skill_04_combo_3_combo_swing.wav;$cleric_sound/woman_mage_attack_01.wav,100;101,sdBaseState,1200,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_skill04_3_re01_001,0,0,,,,1,1,1500,7000,8000,mace,0;1
39,神圣破袭,1,0,10,100,0,5,0,0,0,20,4000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,12000,,142;153;154;155;168,,0,用圣光之锤向敌人发动重击，造成相当于攻击力800%的伤害，并使敌人的防御力在30秒内减少10%。,DivineBreak_c,100510,5500,dummy_right_weapon_at;self,1;2,Effect/MainChar/$Priest/Fx_Chuizi_001.prefab;Effect/MainChar/$Priest/Fx_Shengshengpoxi_Hit_001.prefab,1700;1700,0,0,0,0,0,0,2500,1,7500,$cleric_sound/skill_01_holy_shock.wav;$cleric_sound/woman_skill_pre_01.wav;$cleric_sound/skill_08_divine_break.wav,100;101;4000,sdBaseState,2500,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_skill08_5,0,0,,,,1,1,4000,7000,8000,mace,0;1
40,飓风,0,0,1,0,0,5,0,0,0,20,3000,0,0,1,0,0,0,10000,0;0;0;0,0,0,0,0,6800,,,,0,高速旋转产生风暴聚拢周围的敌人，随后产生爆炸，造成200%的伤害，使用时处于无敌状态。,Hurricane,100501,1,,0,,3000,0,0,0,0,0,0,2500,1,0,,,sdBaseState,3000,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,,0,0,,,,0,1,0,0,0,sword,0;1
41,审判,1,0,10,0,0,4,0,0,0,3,6000,0,0,1,0,0,0,10000,0;0;0;0,3,0,0,0,2200,,,,0,审判恢复周围3个友方目标生命值,Trial_c,100310,5000,,,,,0,0,0,0,0,0,0,1,7500,$cleric_sound/skill_02_4_charging_shock.wav;$cleric_sound/woman_mage_skill_pre_01.wav,100;101,sdBaseState,3500,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,1,600,1,$cleric_skill05,0,0,,,,0,1,0,10000,12000,,
43,超级火球,4,2,4,0,0,5,0,0,0,20,8000,0,0,1,180,0,0,10000,0;0;0;0,0,0,0,0,0,,175,,0,发出超级火球,Hurricane,100104,3500,self,,,1,0,0,0,0,0,0,2500,0,0,$mage_sound/skill_04_fireball.wav,100,sdBaseState,7000,,0,Effect/MainChar/$Mage/Fx_HuoQiu_Buff_001.prefab,1000,,1,,,$mage_skill02_04,0,0,,,,0,0,0,0,0,fire,0;1
47,穿透箭,6,0,7,100,0,5,0,0,0,20,8000,0,0,1,180,0,0,10000,0;0;0;0,0,0,0,0,0,,178,,0,向前方扇形同时发出3只箭矢，每只造成相当于攻击力125%的伤害。,Salvo_c,100307,4500,self,1,Effect/MainChar/$Ranger/Fx_Yidonggongji_001.prefab,600,0,0,0,0,0,0,2500,1,5000,$ranger_sound/skill_04_volley_shot.wav;$ranger_sound/m_4_ranger_attack_02.wav,100;101,sdBaseState,7000,,0,,0,,1,,,$ranger_skill04_003,0,0,,,,0,0,0,0,0,,
