code,cn
Equip_Necklace,项链
Quility_Grey,粗糙
Quility_White,普通
Quility_Green,精良
Quility_Blue,稀有
Quility_Purple,极品
Quility_Gold,史诗
Move_Mode1,拇指杆
Move_Mode2,滑动
SkillName,技能名称
Active,主动技能
Passive,被动技能
LearnCost,学习消耗
UnLock,解锁
SimpleLevel,级
Part,部位
NickName,昵称
Score,战力
DmgAtt,伤害属性
Replace,替换
Equip,装备
Sell,出售
UnEquip,卸下
Learn,学习
CurLevel,当前等级
NextLevel,下一等级
Confirm,确认
Cancel,取消
SellMsg,确认出售物品?
Strengthen,强化
DrawItemTip,打碎水晶获得额外宝物
AddFriendTip,请输入玩家角色名/ID:
Search,查找
UserId,您的角色ID
UserIdTip,角色ID可以在个人属性中查看
AddFriend,加为好友
OnlineFriend,在线好友
GetNewPet,您获得了新的战魂:
PetUpSuccess,强化成功
GetAcPoint,从{0}取得体力值
SearchNoFri,该用户不存在
Congratulation,恭喜获得:
MainCityError,请勇士击败黑魔法师，解救光明城
SendFriMsg,已发送好友请求
SendAPMsg,体力已发送
SkillPoint,技能点
BackTown,你确定要放弃这次战斗吗？
ScoreTip,恭喜你得到了一次抽奖机会
LeaveGame,退出游戏
ReturnLogin,返回登录界面
ChangeMode,切换模式
ReturnGame,返回游戏
ChangeView,切换视角
ReturnMainCity,返回主城
ReliveHp,满血复活
QuitGameConfirm,确认离开游戏？
DelFriConfirm,确认删除好友？
ReturnLoginComfirm,确认返回登录界面？
ReturnCharComfirm,确认返回角色选择界面？
InDevelop,此功能还未开放
ItemUpCur,当前强化
ItemUpNext,强化目标
ItemUpLv,强化等级
SpendGem,消耗宝石
ReplaceGemTip,左边放入2颗任意颜色的同级宝石，消耗此2颗宝石可置换出1颗同级宝石。
ReplaceGemTip2,随机获得1颗同级宝石
MergeGemTip,左边放入3颗任意颜色的同级宝石，消耗此3颗宝石可合成1颗高1级宝石。
Consume1,消耗
SuitEffect,套装效果
MergeGemNumError,合成所需宝石数量不足
ReplaceGemNumError,置换所需宝石数量不足
SuccessGet1,成功获得{0}
GemOnSuccess,宝石镶嵌成功
GemOffSuccess,宝石拆除成功
SkipGuide,是否跳过新手引导
Gem,宝石
GemLevel,宝石等级
NeedLevel,需求等级
openpvplevel,人物等级达到2级开放！
SellSuccess,出售成功
ItemIsLock,物品已加锁
HasLock,已加锁
ItemIsUnlock,物品已解锁
HasUnLock,已解锁
DefDesc,减少{0}%受到的伤害
IceDefDesc,减少{0}%受到的冰属性伤害
FireDefDesc,减少{0}%受到的火属性伤害
PoisonDefDesc,减少{0}%受到的毒属性伤害
ThunderDefDesc,减少{0}%受到的雷属性伤害
PierceDesc,攻击忽视目标{0}%的防御
JobWrong,职业不符要求，无法装备
LevelWrong,等级不足，无法装备
IntDesc,影响法师系职业的攻击力
StrDesc,影响战士系职业的攻击力
DexDesc,影响游侠系职业的攻击力
FaiDesc,影响牧师系职业的攻击力
StaDesc,增加最大生命值
AttDesc,对目标造成的伤害
HitDesc,攻击命中率，10点命中点数=1%命中率
CriDesc,攻击暴击率，10点暴击点数=1%暴击率
DodgeDesc,闪避攻击的几率，10点闪避点数=1%闪避率
FlexDesc,减少被暴击几率，10点韧性点数=1%减少几率
CriDmgDesc,暴击后产生的伤害提升百分比
CriDmgDefDesc,减少受到的暴击伤害
IceAttDesc,冰属性攻击力
FireAttDesc,火属性攻击力
PoisonAttDesc,毒属性攻击力
ThunderAttDesc,雷属性攻击力
AttSpeedDesc,增加攻击速度
MoveSpeedDesc,增加移动速度
Error_1,SP不足，无法施放技能
Error_101,周围没有可释放目标，无法释放
NoLearn,未学习
EquipSuccess,装备成功
NoSkillPoint,剩余技能点不足
ItemUpMax,强化等级已满，无法继续强化
ItemUpNoMoney,强化所需金钱不足
LevelLow,等级不足
NeedParentSkill,解锁{0}后可学习
NoPreSkill,前置技能不满足
SkillLvMax,该技能已达满级
Equiped,已装备
LvUp,升级
SelectUpItem,请先在中间放入需要强化的装备。
SelectUpUseItem,请放入所需的强化物品
SelectGemItem,请先选择需要镶嵌的装备
GemOnTip,点击宝石孔可以进行镶嵌，替换和拆除操作
GemPart,可镶嵌部位
SercetShopError,抱歉，神秘圣地系统暂未开放。
ChatError,抱歉，聊天系统暂未开放。
MedicineError,你没有药水了。
MedicineError2,你没有受伤，不需要喝药。
GemOnError1,该位置无宝石孔，不可镶嵌宝石。
PVPRewardError,无法领取奖励，你需要更多的声望。
GemOffConfirm,该孔位已镶嵌宝石，点击拆取会消耗{0}金币将该宝石拆至背包，取消则不变动该宝石。
PVPTimesError,今日挑战次数已经用完 !
PassTime,通关时间
World,世界
ChatLevel,等级达到20级才能在世界频道发送聊天信息
ChatTime,说话频率过快，请稍后再试（倒计时：{0}秒）
System,系统
AddFriendConfirm,确认是否将{0}加为好友
petCooldown,战魂处于冷却状态，无法出战。
petHPlow,战魂血量过低，无法出战。
petActive,此战魂已经出战。
petFriend,每场战斗，好友战魂只能出战一次。
ScorePanel,战力提升至:{0}
CanEquip,可装备
NoEquip,背包中没有适合穿戴到该部位的装备。
SellGet,可获得:
ReliveNum2,剩余复活次数：{0}/{1}
ReliveNoCash,复E活所需勋章不足，无法复活
ReliveNoNum,本次关卡复活次数已经耗尽,无法复活
FightRetry,确定放弃本次关卡回到关卡选择界面么?
EP,体力
PetShopClose,灵魂殿堂系统将于第一战役完成后开放
SercetShopClose,神秘圣地系统将于21级后开放
SkillReset,重置技能需要消耗50个勋章，是否确定重置？
SkillResetNoMoney,重置技能所需勋章不足
SendEpNum,赠送体力剩余次数
GetEpNum,领取体力剩余次数
ItemUpTip,在中间放入主装备之后，再放入最多六个强化材料，消耗材料提升主装备的强化等级。强化等级越高，装备的主属性能力越强。
SkillResetNoNeed,没有需要重置的技能点，无需重置
FightAngle1,切换到[00FF22]远视角[-]模式
FightAngle2,切换到[00FF22]近视角[-]模式
FightControl1,切换到[00FF22]滑动触控[-]操作模式
FightControl2,切换到[00FF22]拇指摇杆[-]操作模式
NeedInMainCity,勇士请先去鲁米纳城休息一下，即可解锁此战役
ItemHasGem,材料装备中已镶嵌的宝石将被消耗掉，确认要继续强化吗？
Friendalready,对方已经是您的好友。
Addselffriend,不能加自己为好友。
Second,秒
ptbuy,今日购买次数已用完。
upvip,是否升级VIP等级增加购买次数。
pt,挑战低难度后，才能解锁该难度。
pttip1,敌方战队即将进攻。
pttip2,敌方精英战队即将进攻。
ptattack,击败敌方队伍:
NoMakeUpItem,请先选择需要锻造的装备
MakeUpNoMoney,锻造所需金钱不足
MakeUpNoItem,锻造所需材料不足
GemMergeNoMoeny,宝石合成金钱不足
ptloading,欢迎进入战魂试炼 
ptnotime,次数已用完，请购买。
ptfail,战魂试炼失败，继续努力。
Num1,一
Num2,二
Num3,三
Num4,四
Num5,五
Num6,六
Num7,七
Num8,八
Num9,九
Num10,十
Get,获得
SweepTitle1,第{0}回合奖励
