Index,Job,Level,Exp
70033,7,33,11340
70034,7,34,13170
70035,7,35,15098
70036,7,36,17732
70037,7,37,20500
70038,7,38,23404
70039,7,39,26449
70040,7,40,29637
70041,7,41,32971
70042,7,42,36857
70043,7,43,40913
70044,7,44,45143
70045,7,45,49550
70046,7,46,54137
70047,7,47,58908
70048,7,48,64124
70049,7,49,69541
70050,7,50,75162
70051,7,51,80990
70052,7,52,87029
70053,7,53,93282
70054,7,54,100074
70055,7,55,107098
70056,7,56,114359
70057,7,57,121859
70058,7,58,129603
70059,7,59,137593
70060,7,60,148171
70061,7,61,159084
70062,7,62,170338
70063,7,63,181937
70064,7,64,193887
70065,7,65,206192
70066,7,66,219431
70067,7,67,233052
70068,7,68,247060
70069,7,69,261460
70070,7,70,276258
70071,7,71,291458
70072,7,72,294162
70073,7,73,296933
70074,7,74,299771
70075,7,75,302677
70076,7,76,305652
70077,7,77,308696
70078,7,78,311810
70079,7,79,314995
70080,7,80,318252
70081,7,81,321581
70082,7,82,324983
70083,7,83,328459
70084,7,84,332009
70085,7,85,335634
70086,7,86,339335
70087,7,87,343113
70088,7,88,346968
70089,7,89,350901
70090,7,90,358206
70091,7,91,365656
70092,7,92,373253
70093,7,93,380998
70094,7,94,388893
70095,7,95,396938
70096,7,96,405135
70097,7,97,413486
70098,7,98,421991
70099,7,99,430652
70100,7,100,439470
70101,7,101,448446
70102,7,102,457582
70103,7,103,466878
70104,7,104,476337
70105,7,105,485959
70106,7,106,495745
70107,7,107,505697
70108,7,108,515816
70109,7,109,526103
70110,7,110,536560
70111,7,111,547188
70112,7,112,557988
70113,7,113,568961
70114,7,114,580108
70115,7,115,591431
70116,7,116,602931
70117,7,117,614609
70118,7,118,626467
70119,7,119,638505
70120,7,120,0
100001,10,1,60
100002,10,2,103
100003,10,3,148
100004,10,4,196
100005,10,5,247
100006,10,6,315
100007,10,7,387
100008,10,8,464
100009,10,9,546
100010,10,10,633
100011,10,11,726
100012,10,12,834
100013,10,13,948
100014,10,14,1068
100015,10,15,1194
100016,10,16,1326
100017,10,17,1465
100018,10,18,1630
100019,10,19,1802
100020,10,20,1981
100021,10,21,2167
100022,10,22,2360
100023,10,23,2560
100024,10,24,2796
100025,10,25,3043
100026,10,26,3301
100027,10,27,3821
100028,10,28,4369
100029,10,29,4946
100030,10,30,6410
100031,10,31,7962
100032,10,32,9605
100033,10,33,11340
100034,10,34,13170
100035,10,35,15098
100036,10,36,17732
100037,10,37,20500
100038,10,38,23404
100039,10,39,26449
100040,10,40,29637
100041,10,41,32971
100042,10,42,36857
100043,10,43,40913
100044,10,44,45143
100045,10,45,49550
100046,10,46,54137
100047,10,47,58908
100048,10,48,64124
100049,10,49,69541
100050,10,50,75162
100051,10,51,80990
100052,10,52,87029
100053,10,53,93282
100054,10,54,100074
100055,10,55,107098
100056,10,56,114359
100057,10,57,121859
100058,10,58,129603
100059,10,59,137593
100060,10,60,148171
100061,10,61,159084
100062,10,62,170338
100063,10,63,181937
100064,10,64,193887
100065,10,65,206192
100066,10,66,219431
100067,10,67,233052
100068,10,68,247060
100069,10,69,261460
100070,10,70,276258
100071,10,71,291458
100072,10,72,294162
100073,10,73,296933
100074,10,74,299771
100075,10,75,302677
100076,10,76,305652
100077,10,77,308696
100078,10,78,311810
100079,10,79,314995
100080,10,80,318252
100081,10,81,321581
100082,10,82,324983
100083,10,83,328459
100084,10,84,332009
100085,10,85,335634
100086,10,86,339335
100087,10,87,343113
100088,10,88,346968
100089,10,89,350901
100090,10,90,358206
100091,10,91,365656
100092,10,92,373253
100093,10,93,380998
100094,10,94,388893
100095,10,95,396938
100096,10,96,405135
100097,10,97,413486
100098,10,98,421991
100099,10,99,430652
100100,10,100,439470
100101,10,101,448446
100102,10,102,457582
100103,10,103,466878
100104,10,104,476337
100105,10,105,485959
100106,10,106,495745
100107,10,107,505697
100108,10,108,515816
100109,10,109,526103
100110,10,110,536560
100111,10,111,547188
100112,10,112,557988
100113,10,113,568961
100114,10,114,580108
100115,10,115,591431
100116,10,116,602931
100117,10,117,614609
100118,10,118,626467
100119,10,119,638505
100120,10,120,0
