dwTemplateID,strName,byShape,byDamegePro,byTargetType,dwHitPer,dwCriticalPer,dwCriticalDmgPer,wAoeAimNum,Mode,PeriodTime,Count,nAoeArea,byAoeAreaType,nAoeAreaData,byIgnoreDef,dwIgnoreDefendAmount,dwDamagePer,naMoreDamagePer[MONSTER_BODY_TYPE_max],bySkillEffect,dwDmg[10],dwAtkPowerPer[10],sSkillEffect[8],Description,MoveSpeed,LifeTime,shakeCamera,AudioConf,SummonEffect,ExplosionEffect,ExplosionEffectLife,ExplosionAudioConf,ExplosionAudioStartTime,HitEffect,HitEffectLife,HitDummy,WeaponHitType,DelayDamage,CalcDamage,BindNode,High
11,穿透箭（游侠技能）,6,0,5,0,0,0,1,0,0,20,200,1,0,0,0,10000,0;0;0;0,0,0,3200,179,碰到目标后造成相当于攻击力125%的伤害,25000,600,0,,Effect/MainChar/$Ranger/Fx_Yidonggongji_Fly_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,arrow,0,1,,0
13,暴风箭雨（游侠技能）,6,0,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,2300,,碰到目标后造成相当于攻击力200%的伤害,25000,300,0,,Effect/MainChar/$Ranger/Fx_baofeng_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,arrow,0,1,,0
14,火弹（法师平砍）,4,2,5,0,0,0,20,0,0,1,500,1,0,0,0,10000,0;0;0;0,0,0,5000,117;120,碰到目标后爆炸对半径2米内的所有敌人造成相当于攻击力100%的火焰伤害。,20000,750,0,,Effect/MainChar/$Mage/Fx_Huoqiu_Fly_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
15,闪电阵（法师技能）,4,4,5,0,0,0,20,1,500,0,8000,7,1000,0,0,10000,0;0;0;0,0,0,1000,156;157;158,每0.5秒对处于放电地带的敌人造成相当于攻击力20%的雷电伤害，并有一定的几率产生束缚效果，同时会使目标受到的伤害提高。,0,4000,0,,Effect/MainChar/$Mage/Fx_Shandianxianjng_Hit_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_lighting_Hit_001.prefab,600,1,lightning,0,1,,0
16,百步传扬（游侠技能）,6,0,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,5000,137,碰到目标后造成相当于攻击力50%的伤害,25000,300,0,,Effect/MainChar/$Ranger/Fx_Yidonggongji_Fly_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,600,1,arrow,0,1,,0
18,贯穿射击（游侠技能）,6,0,5,0,0,0,1,0,0,20,200,1,0,0,0,10000,0;0;0;0,0,0,15000,131;132;176;177,对路径上的所有目标造成150%的伤害。,25000,300,0,,Effect/MainChar/$Ranger/Fx_Yidonggongji_Fly_001.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,arrow,0,1,,0
101,豺狼人弩箭,0,2,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力100%的伤害,15000,1000,0,,Effect/MainChar/$Fx_dwarf_warrior_v_bergtol/Fx_Huojian_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,arrow,0,1,,0
102,炸弹,4,2,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后爆炸对半径2米内的所有敌人造成相当于攻击力100%的火焰伤害。,12000,1550,0,,Effect/MainChar/$Fx_kobold_bomb_mask/Fx_Bomb_Fly.prefab,Effect/MainChar/$Fx_kobold_bomb_mask/Fx_kobold_bomb_boss_hit.prefab,1000,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,1500,1,,0
103,火球,4,2,5,0,0,0,20,0,0,1,1500,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后爆炸对半径2米内的所有敌人造成相当于攻击力100%的火焰伤害，并有概率造成燃烧效果，以及在原地放下一个燃烧地带。,12000,1000,0,,Effect/MainChar/$Mage/Fx_Huoqiu_Fly_002.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
104,火箭,0,2,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力100%的伤害,15000,1000,0,,Effect/MainChar/$Fx_dwarf_warrior_v_bergtol/Fx_Huojian_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,arrow,0,1,,0
105,卡斯帕弩箭,0,2,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,10000,1002,碰到目标后造成相当于攻击力100%的伤害,15000,1000,0,,Effect/MainChar/$Fx_dwarf_warrior_v_bergtol/Fx_Huojian_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,arrow,0,1,,0
106,赛波弩箭,0,2,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,10000,1002,碰到目标后造成相当于攻击力100%的伤害,15000,1000,0,,Effect/MainChar/$Fx_dwarf_warrior_v_bergtol/Fx_Huojian_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,arrow,0,1,,0
107,幼虫小恶魔毒弹,4,3,5,0,0,0,1,0,0,1,500,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力75%的冰霜伤害。,12000,1500,0,,Effect/MainChar/$Fx_caterpillar_imp/Fx_Caterpillar_Imp_Fly01.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
108,沙基安雷球,4,4,5,0,0,0,20,0,0,20,2000,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后爆炸对半径2米内的所有敌人造成相当于攻击力100%的雷电伤害。,16000,1000,0,,Effect/MainChar/$Fx_nuker_shakian_magic/Fx_nuker_shakian_magic_skill04_loop.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_lighting_Hit_001.prefab,600,1,lightning,0,1,,0
109,沙基安长矛,0,2,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力100%的伤害,12000,1000,0,,Effect/MainChar/$Fx_dwarf_warrior_v_bergtol/Fx_Huojian_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,arrow,0,1,,0
110,修拉克落雷,0,2,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力100%的伤害,12000,1000,0,,Effect/MainChar/$Fx_dwarf_warrior_v_bergtol/Fx_Huojian_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,arrow,0,1,,0
111,地精监视兵Boss,0,0,5,0,0,0,1,0,0,1,500,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力100%的伤害,13000,1500,0,,Effect/MainChar/$Fx_kobold_guard/kobold_guard_Fly01.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,600,1,sword,0,1,,0
112,地精监视兵Boss,0,2,5,0,0,0,1,0,0,1,500,1,0,0,0,10000,0;0;0;0,0,0,15000,,碰到目标后造成相当于攻击力100%的火焰,13000,1500,0,,Effect/MainChar/$Fx_kobold_guard/kobold_guard_Fly02.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
113,地精监视兵,0,0,5,0,0,0,1,0,0,1,500,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力100%的伤害,13000,1500,0,,Effect/MainChar/$Fx_kobold_guard/kobold_guard_Fly03.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_002.prefab,600,1,sword,0,1,,0
114,特林特旋风,0,3,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,15000,,对碰到的目标造成相当于攻击力100%的伤害。,10000,1500,0,,Effect/MainChar/$Fx_treant/Fx_treant_wind.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
115,幼虫小恶魔毒弹(Boss),0,3,5,0,0,0,1,0,0,1,500,1,0,0,0,10000,0;0;0;0,0,0,15000,,碰到目标后造成相当于攻击力75%的冰霜伤害。,10000,1500,0,,Effect/MainChar/$Fx_caterpillar_imp/Fx_Caterpillar_Imp_Fly02.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
116,兽人精灵术士陷阱,4,2,5,0,0,0,20,1,1000,0,1500,1,0,0,0,10000,0;0;0;0,0,0,15000,,对进入范围内的敌人造成大量伤害。,0,1500,0,,Effect/MainChar/$Fx_orc_elementalist/Fx_Orc_Elementalist_002.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
117,古代岩石巨人落石,4,2,5,0,0,0,20,1,2000,0,2000,1,0,0,0,10000,0;0;0;0,0,0,15000,,对进入范围内的敌人造成大量伤害。,0,3500,0,,Effect/MainChar/$Fx_boss_golem/Fx_boss_golem_bomb01.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
118,托儿波旋风,0,2,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,5000,,对碰到的目标造成相当于攻击力50%的伤害。,10000,1500,0,,Effect/MainChar/$Warrior/Fx_XuanFeng.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,fire,0,1,,0
119,托儿波旋风（大）,0,2,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,15000,,对碰到的目标造成相当于攻击力150%的伤害。,8000,2000,0,,Effect/MainChar/$Warrior/Fx_XuanFeng_1.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,fire,0,1,,0
120,黑魔法师火球,4,2,5,0,0,0,20,0,0,20,1000,1,0,0,0,10000,0;0;0;0,0,0,15000,,碰到目标后爆炸对半径2米内的所有敌人造成相当于攻击力100%的火焰伤害，并有概率造成燃烧效果，以及在原地放下一个燃烧地带。,12000,1500,0,,Effect/MainChar/$Fx_boss_kelvor/Fx_boss_kelvor_skill_02.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
121,黑魔法师陷阱,4,2,5,0,0,0,20,1,500,0,1500,1,0,0,0,10000,0;0;0;0,0,0,10000,,对进入范围内的敌人造成大量伤害。,0,1800,0,,Effect/MainChar/$Fx_boss_kelvor/Fx_boss_kelvor_skill_03_hit.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
122,喇叭手音波,4,2,5,0,0,0,20,0,0,20,500,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力75%的冰霜伤害。,8000,2000,0,,Effect/MainChar/$Fx_kobold_burgler/Fx_kobold_burgler_fly_white.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,fire,0,1,,0
123,女王蚂蚁毒镖,0,3,5,0,0,0,20,0,0,20,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,碰到目标后造成100%的毒素伤害。,15000,1000,0,,Effect/MainChar/$Fx_range_ant_queen/Fx_range_aur_queen_fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
124,女王蚂蚁毒镖(boss),0,3,5,0,0,0,20,0,0,20,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,碰到目标后造成100%的毒素伤害。,15000,1000,0,,Effect/MainChar/$Fx_range_ant_queen/Fx_range_ant_queen_fly_boss.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
125,藤蔓花毒球,0,3,5,0,0,0,20,0,0,1,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,碰到目标后造成100%的毒素伤害。,5000,3000,0,,Effect/MainChar/$Fx_ivyflower/Fx_ivyflower_fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
126,小妖精密探毒液,0,3,5,0,0,0,20,0,0,20,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,碰到目标后造成100%的毒素伤害。,15000,1000,0,,Effect/MainChar/$Fx_range_gremlin/Fx_gremlin_fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
127,铁螳螂毒弹,0,3,5,0,0,0,20,0,0,1,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,碰到目标后造成100%的毒素伤害。,15000,1000,0,,Effect/MainChar/$Fx_battle_scythe/Fx_battle_scythe_fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
128,女王蚂蚁连发毒镖(boss),0,3,5,0,0,0,20,0,0,20,1000,1,0,0,0,10000,0;0;0;0,0,0,3000,1074,碰到目标后造成30%的毒素伤害。,60000,500,0,,Effect/MainChar/$Fx_range_ant_queen/Fx_range_ant_queen_fly_boss.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
129,毒虫毒液,0,3,5,0,0,0,20,0,0,20,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,碰到目标后造成100%的毒素伤害。,15000,1000,0,,Effect/MainChar/$Fx_range_poisonbeetle/Fx_beetle_fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
130,昆昆幼虫毒弹,0,3,5,0,0,0,20,0,0,1,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,1052,碰到目标后召唤陷阱,12000,1000,0,,Effect/MainChar/$Fx_battle_kunkunlarva/Fx_kunkun_fly.prefab,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,0,,0,,600,1,poison,980,0,,1300
131,昆昆幼虫毒陷阱,0,3,5,0,0,0,20,1,500,0,1500,1,0,0,0,10000,0;0;0;0,0,0,5000,1074,每0.5秒造成50%的毒素伤害,0,5000,0,,Effect/MainChar/$Fx_gremlin_ppappu/Fx_gremlin_bomb_loop.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
132,巨爪巴布红弹,0,3,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,0,1055,落地后召唤陷阱,10000,520,0,,Effect/MainChar/$Fx_gremlin_ppappu/Fx_gremlin_pp_fly_red.prefab,,0,,0,,600,1,poison,500,0,,2200
133,巨爪巴布绿弹,0,3,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,0,1057,落地后召唤陷阱,10000,520,0,,Effect/MainChar/$Fx_gremlin_ppappu/Fx_gremlin_pp_fly_green.prefab,,0,,0,,600,1,poison,500,0,,2200
134,巨爪红弹地面,4,2,5,0,0,0,20,1,1200,0,2000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,对进入范围内的敌人造成相当于攻击力100%的毒素伤害。,0,2000,0,,Effect/MainChar/$Fx_gremlin_ppappu/Fx_gremlin_bomb.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
135,巨爪绿弹地面,4,2,5,0,0,0,20,1,1000,0,2000,1,0,0,0,10000,0;0;0;0,0,0,10000,1074,对进入范围内的敌人造成相当于攻击力100%的毒素伤害。,0,8000,0,,Effect/MainChar/$Fx_gremlin_ppappu/Fx_gremlin_bomb_loop.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Poison_Hit_001.prefab,600,1,poison,0,1,,0
136,沙基安长矛,0,0,5,0,0,0,20,0,0,20,500,1,0,0,0,10000,0;0;0;0,0,0,10000,,碰到目标后造成相当于攻击力100%的伤害。,15000,1000,0,,Effect/MainChar/$Fx_range_shakian_spear/Fx_spear.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,,0
137,堕落守护者旋风,0,4,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,10000,,造成100%的伤害。,12000,1000,0,,Effect/MainChar/$Fx_Etc_Dryas/Fx_Xiaoxingxuanfeng_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,lightning,0,1,,0
138,拉巴蒂陷阱,4,2,5,0,0,0,20,1,500,0,1500,1,0,0,0,10000,0;0;0;0,0,0,10000,,对进入范围内的敌人造成大量伤害。,0,1800,0,,Effect/MainChar/$Fx_boss_kelvor/Fx_boss_kelvor_skill_03_hit.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,fire,0,1,,0
139,昆昆头部1,0,0,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,10000,,对碰到的目标造成100%的伤害。,0,2000,0,,Model/$poison_cave_boss_kunkun/Fx_kunkun_head_1.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,Bip01 Head,0
140,昆昆头部2,0,0,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,20000,,对碰到的目标造成200%的伤害。,0,1200,0,,Model/$poison_cave_boss_kunkun/Fx_kunkun_head_1.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,Bip01 Head,0
141,拉巴蒂陷阱,4,4,5,0,0,0,20,1,300,0,1000,1,0,0,0,10000,0;0;0;0,0,0,10000,,对进入范围内的敌人造成大量伤害。,0,1100,0,,Effect/MainChar/$Fx_boss_shakian_queen/Fx_shakian_queen_xianjing.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,lightning,0,1,,0
142,昆昆陷阱预警,4,0,5,0,0,0,20,1,1200,0,1500,1,0,0,0,10000,0;0;0;0,0,0,10000,1075,结束时召唤伤害陷阱,0,1200,0,,Effect/MainChar/$Fx_poison_cave_boss_kunkun/Fx_poison_cave_boss_kunkun_skill07_yujing.prefab,,0,,0,,,,sword,0,0,,0
143,昆昆陷阱,4,0,5,0,0,0,20,1,120,0,2000,1,0,0,0,10000,0;0;0;0,0,0,10000,,对进入范围内的敌人造成大量伤害。,0,450,0,,Effect/MainChar/$Fx_poison_cave_boss_kunkun/Fx_kunkun_trap.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,sword,0,1,,0
201,蝶仙儿普攻旋风,0,4,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,8000,,小花仙煽动翅膀，向前方发出一道旋风，对旋风经过路径上的所有敌人造成相当于攻击力110%的雷电伤害。,12000,1000,0,,Effect/MainChar/$Fx_Etc_Dryas/Fx_Xiaoxingxuanfeng_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,lightning,0,1,,0
202,蝶仙儿雷云风暴旋风,0,4,5,0,0,0,20,0,0,20,0,0,0,0,0,10000,0;0;0;0,0,0,18000,,小花仙猛力煽动翅膀，向四周放出6道旋风，对所有被旋风击中的敌人造成相当于攻击力180%的雷电伤害。,12000,1000,0,,Effect/MainChar/$Fx_Etc_Dryas/Fx_Xiaoxingxuanfeng_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,lightning,0,1,,0
203,艾丽娅冰球,4,1,5,0,0,0,1,0,0,1,500,1,0,0,0,10000,0;0;0;0,0,0,15000,,碰到目标后造成相当于攻击力150%的冰霜伤害。,16000,1000,0,,Effect/MainChar/$Fx_human_yudit/Fx_Bingdan_Fly_aliya.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Ice_Hit_001.prefab,600,1,ice,0,1,,0
204,小酒桶,0,2,5,0,0,0,20,0,0,1,1000,1,0,0,0,10000,0;0;0;0,0,0,12000,,酒桶朝前方扔出手中的酒杯，碰到目标后产生爆炸，对范围内的所有敌人造成相当于攻击力120%的冰霜伤害。,20000,1000,0,,Effect/MainChar/$Fx_dwarf_warrior_v_anunt/Fx_Beizi_Fly_Small.prefab,Effect/MainChar/$Fx_dwarf_warrior_v_anunt/Fx_Beizi_Hit_001.prefab,1000,,0,,600,1,ice,0,1,,0
205,大酒桶,0,2,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,40000,2001,酒桶朝前方扔出一个蓄满能量的大酒杯，能量酒杯在落地时会发生猛烈爆炸，将爆炸区域内的所有敌人炸飞（震退1米），并对他们造成相当于攻击力400%的冰霜伤害。,20000,550,0,,Effect/MainChar/$Fx_dwarf_warrior_v_anunt/Fx_Beizi_Fly_Big.prefab,Effect/MainChar/$Fx_dwarf_warrior_v_anunt/Fx_Beizi_Hit_002.prefab,1500,,0,,600,1,ice,500,1,,0
206,雷光弹,4,4,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,7500,,圣光主祭朝前方释放一枚雷光弹，对命中的敌人造成相当于攻击力75%的雷电伤害。,16000,1000,0,,Effect/MainChar/$Fx_baltor/Fx_Leiguangdan_Fly.prefab,,1000,,0,Effect/MainChar/$Hit_Effect/Fx_lighting_Hit_001.prefab,600,1,lightning,0,1,,0
207,圣光法阵,4,4,4,0,0,0,20,1,500,0,3000,1,0,0,0,0,0;0;0;0,0,0,0,2010,时法阵内的友方目标受到的伤害下降30%。,0,8000,0,,Effect/MainChar/$Fx_baltor/Fx_Shengguangfazhen.prefab,,0,,0,,0,1,,0,0,,0
208,气功弹,0,0,5,0,0,0,20,0,0,1,2000,1,0,0,0,10000,0;0;0;0,0,0,8500,,碰到目标后造成相当于攻击力85%的伤害。,16000,1000,0,,Effect/MainChar/$Fx_baltor_kid/Fx_Qigongdan_Fly.prefab,,1000,,0,Effect/MainChar/$Hit_Effect/Fx_Hit_001.prefab,600,1,lightning,0,1,,0
209,矮人射手火箭,0,2,5,0,0,0,1,0,0,1,200,1,0,0,0,10000,0;0;0;0,0,0,5000,,碰到目标后造成相当于攻击力50%的火焰伤害,30000,500,0,,Effect/MainChar/$Fx_dwarf_warrior_v_bergtol/Fx_Huojian_Fly.prefab,,0,,0,Effect/MainChar/$Hit_Effect/Fx_Fire_Hit_001.prefab,600,1,arrow,0,1,,0
