id,classID,condition,conditionParam,operation,operationParam,event,eventParam,isSave,isSkip,isLock
10300,2,12,kuangdong,32,Md_Plane_001,0,0,1,1,1
10400,2,0,0,4,65,0,0,1,1,0
10600,3,3,11061,0,0,0,0,0,1,0
10650,3,6,b1|b2|b3|b4,0,0,0,0,0,1,1
10700,3,12,btn_goon,256,0|52|180@-100,0,0,0,1,0
10800,3,0,0,2,btn_goon,1,btn_goon,1,1,1
10900,3,12,bt_reward1,256,0|53|180@-50,0,0,0,1,0
11000,3,0,0,2,bt_reward1,1,bt_reward1,0,1,1
11100,3,12,btn_reward,256,0|54|400@-80,0,0,0,1,0
11200,3,0,0,2,btn_reward,1,btn_reward,1,1,1
11300,3,12,btn_close,256,0|55|400@230,0,0,0,0,0
11400,3,0,0,2,btn_close,1,btn_close,0,0,1
11500,3,16,0,0,0,0,0,0,0,1
11600,3,15,Btn_PetTeam,0,0,0,0,1,1,1
11610,3,12,Fx_Dianji_002,16,Fx_Dianji_002,0,0,0,1,1
11700,3,12,petshop,256,0|56|300@-120,0,0,0,1,0
11800,3,0,0,2,petshop,1,petshop,0,1,1
11900,3,12,Guide_button2,256,0|57|120@-100,0,0,0,1,0
12000,3,0,0,2,Guide_button2,1,Guide_button2,1,1,1
12050,3,0,0,0,0,5,2,1,0,1
12100,3,12,pray_close,256,0|58|400@180,0,0,0,0,0
12200,3,0,0,2,pray_close,1,pray_close,1,0,0
12300,3,12,Close,2,Close,1,Close,0,0,1
12500,3,12,Btn_Push,2,Btn_Push,1,Btn_Push,0,1,0
12600,3,0,0,2,Btn_PetTeam,1,Btn_PetTeam,0,1,1
12700,3,12,wpet0,256,0|62|-50@150,0,0,0,1,0
12800,3,0,0,2,wpet0,1,wpet0,0,1,1
12900,3,12,PetCard1(Clone),256,0|63|100@200,0,0,0,1,0
13000,3,0,0,2,PetCard1(Clone),1,PetCard1(Clone),1,1,1
13100,3,12,petWarClose,256,0|64|400@250,0,0,0,0,0
13200,3,0,0,2,petWarClose,1,petWarClose,1,0,1
13300,3,11,0,4,67,0,0,0,1,1
13310,3,12,kuangdong,32,Fx_Dianji_002,0,0,0,1,0
13320,3,0,0,2,heisengling,1,heisengling,0,1,0
13500,3,12,btn_level1,2,btn_level1,1,btn_level1,0,1,1
13600,3,12,bt_ok,2,bt_ok|1,1,bt_ok,0,1,1
13700,3,3,12011,0,0,0,0,0,1,0
13750,3,6,b1|b2|b3|b4,0,0,0,0,0,1,1
13800,3,12,btn_backtown,256,0|68|-200@-100,0,0,0,1,0
13900,3,0,0,2,btn_backtown,1,btn_backtown,1,1,1
14000,3,15,Btn_Pet,0,0,0,0,1,0,1
14010,3,12,petshop,256,0|85|300@-120,0,0,0,1,0
14020,3,0,0,2,petshop,1,petshop,0,1,1
14030,3,12,Guide_button1,256,0|86|0@-100,0,0,0,1,0
14040,3,0,0,2,Guide_button1,1,Guide_button1,1,1,1
14045,3,0,0,0,0,5,2,1,0,1
14050,3,12,pray_close,256,0|87|400@180,0,0,0,0,0
14060,3,0,0,2,pray_close,1,pray_close,0,0,1
14070,3,12,Close,2,Close,1,Close,0,0,1
14070,3,12,kuangdong,256,0|70|350@100,0,0,0,1,0
14100,3,12,kuangdong,2,Btn_Push,1,Btn_Push,0,1,0
14200,3,0,0,2,Btn_Pet,1,Btn_Pet,0,1,1
14210,3,12,PetCard(Clone),256,0|71|-50@150,0,0,0,1,0
14300,3,12,PetCard(Clone),2,PetCard(Clone),1,PetCard(Clone),0,1,1
14310,3,12,btnPetLevelup,256,0|73|250@50,0,0,0,1,0
14400,3,0,0,2,btnPetLevelup,1,btnPetLevelup,0,1,1
14410,3,12,lppet0,256,0|74|2500@-150,0,0,0,1,0
14500,3,0,0,2,lppet0,1,lppet0,0,1,1
14600,3,12,PetCard4(Clone),2,PetCard4(Clone),1,PetCard4(Clone),0,1,0
14700,3,0,0,2,btnLevelSelectGo,1,btnLevelSelectGo,0,1,0
14800,3,12,btnPetLevelupOk,2,btnPetLevelupOk,1,btnPetLevelupOk,1,1,0
15200,3,12,kuangdong,4,88,0,0,1,1,0
16000,4,12,Button_titleimage,4,90,0,0,0,1,1
17000,4,12,Button_pk1,256,0|91|160@80,0,0,0,1,0
18000,4,0,0,2,Sprite_character0,1,Sprite_character0,0,1,1
19000,4,12,Button_pk1,256,0|92|0@210,0,0,0,1,0
20000,4,12,Button_pk1,2,Button_titleimage,1,Button_titleimage,0,1,1
21000,4,12,Sprite_next,256,0|93|-300@-15,0,0,0,1,0
23000,4,12,Button_titleinfoclose,2,Button_titleinfoclose,1,Button_titleinfoclose,0,1,0
24000,4,12,Button_pk1,256,0|94|-100@210,0,0,0,1,0
25000,4,12,Sprite_character0,2,Sprite_character0,1,Sprite_character0,0,1,1
26000,4,12,Button_openreward,256,0|95|350@-100,0,0,0,1,0
27000,4,0,0,2,Button_openreward,1,Button_openreward,0,1,1
28000,4,12,Button_pvprewardclose,256,0|97|400@150,0,0,0,1,0
29000,4,0,0,2,Button_pvprewardclose,1,Button_pvprewardclose,0,1,1
30000,4,12,Button_titleimage,4,96,0,0,1,1,0
40000,5,3,14061,0,0,0,0,0,1,0
40100,5,6,b1|b2|b3|b4,0,0,0,0,0,1,1
40200,5,12,btn_backtown,256,0|98|-200@-100,0,0,0,1,1
40300,5,0,0,2,btn_backtown,1,btn_backtown,1,1,1
40400,5,16,0,0,0,0,0,1,1,1
40500,5,15,Btn_Comm,0,0,0,0,1,1,1
40600,5,12,kuangdong,4,99,0,0,1,1,0
40700,5,12,town,4,100,0,0,1,1,0
40800,5,12,town,256,0|102|300@-130,0,0,0,1,0
40850,5,0,0,2,town,1,Background,1,0,0
40900,5,16,0,0,0,0,0,1,1,1
41000,5,12,kuangdong,4,101,0,0,1,1,0
43605,6,12,btn_mt,0,0,5,1,0,1,1
43610,6,12,btn_mt,256,0|82|-150@-150,0,0,0,1,1
43620,6,0,0,2,btn_mt,1,btn_mt,1,1,0
